match_id,team_id,outcome,kills,deaths,assists,total_damage_dealt,gold_earned,cs,KDA,Kill Participation
SG2_21380311,200,lose,27,41,36,141126,72304,947,1.6266666666666665,0.19090909090909086
SG2_21384152,100,win,47,26,46,140829,75951,710,4.41,0.2547945205479452
SG2_21384152,200,lose,26,47,29,115403,65623,753,1.1857142857142857,0.1506849315068493
SG2_21555637,100,lose,34,40,33,116456,61373,580,2.1177777777777775,0.18108108108108106
SG2_21555637,200,win,40,34,67,108166,64819,587,3.586666666666667,0.2891891891891892
SG2_21590023,100,win,40,14,27,79725,54096,519,7.906666666666666,0.2481481481481481
SG2_21590023,200,lose,14,40,11,62718,35255,392,0.7771428571428571,0.09259259259259253
SG2_21592050,100,lose,16,30,17,56617,34201,336,1.092142857142857,0.1434782608695652
SG2_21592050,200,win,30,17,33,67902,48412,459,5.107142857142857,0.27391304347826084
SG2_21595115,100,lose,24,38,21,83187,50786,596,1.1770562770562771,0.1451612903225806
SG2_21595115,200,win,38,24,32,86439,54292,551,3.6166666666666663,0.2258064516129032
SG2_21609166,100,win,45,30,61,127080,66660,555,4.2,0.2826666666666666
SG2_21609166,200,lose,30,46,25,103301,58645,612,1.551111111111111,0.14666666666666664
SG2_21611686,100,lose,28,44,45,88542,53771,506,2.202424242424242,0.20277777777777778
SG2_21611686,200,win,44,28,53,120375,60291,489,4.78452380952381,0.26944444444444443
SG2_22718097,100,lose,11,17,5,58430,41183,598,1.5166666666666666,0.11428571428571425
SG2_22718097,200,win,17,11,18,52407,47490,485,4.85,0.25
SG2_22719800,100,win,44,42,60,108709,73261,656,6.42948717948718,0.241860465116279
SG2_22719800,200,lose,42,44,49,116725,70633,637,2.18989898989899,0.2116279069767441
SG2_22721319,100,lose,34,45,43,103830,65902,717,1.7265151515151516,0.19493670886075948
SG2_22721319,200,win,45,34,66,130253,71311,684,4.874242424242424,0.28101265822784804
SG2_22898589,100,win,32,29,41,98316,55570,530,3.765714285714286,0.23934426229508193
SG2_22898589,200,lose,29,32,34,96413,51963,562,2.062222222222222,0.20655737704918029
SG2_22906063,100,lose,39,48,34,98751,62895,578,1.5353030303030302,0.16781609195402297
SG2_22906063,200,win,48,39,53,131621,72166,560,2.8727272727272726,0.23218390804597697
SG2_23143347,100,win,56,28,50,122695,70581,551,7.823636363636363,0.2523809523809523
SG2_23143347,200,lose,28,56,38,88533,52501,489,1.2836607836607836,0.15714285714285708
SG2_23234001,100,lose,13,32,16,39029,40021,463,0.9047619047619048,0.12888888888888883
SG2_23234001,200,win,32,14,31,78355,54748,571,6.25,0.27999999999999997
